Date,ALSO3.SA,BBDC4.SA,BBSE3.SA,BMOB3.SA,INTB3.SA,ITSA4.SA,LJQQ3.SA,LWSA3.SA,MLAS3.SA,POSI3.SA,PSSA3.SA,SQIA3.SA,TOTS3.SA
2019-03-01,,26155268,5252800,,,37247212,,,,97200,1317800,,7141915
2019-03-06,,13570769,3604300,,,21509269,,,,81300,2301400,,2525266
2019-03-07,,20419722,3278700,,,43082994,,,,129000,1055200,,2543043
2019-03-08,,16822509,2570000,,,22943290,,,,70700,1000800,,3329157
2019-03-11,,26233850,5943600,,,22380476,,,,124500,1631000,,4088455
2019-03-12,,21300099,5398400,,,24570025,,,,56800,1744800,,2332127
2019-03-13,,28321710,3655100,,,30437249,,,,77900,1292800,,3355070
2019-03-14,,24349473,3332200,,,24562426,,,,46300,1679400,,2554493
2019-03-15,,22256023,6032400,,,28882438,,,,81300,1732000,,3092931
2019-03-18,,10846425,4371800,,,15479987,,,,137600,1474600,,2265839
2019-03-19,,34472687,4060900,,,25472806,,,,318300,1708200,,28449247
2019-03-20,,36744384,3760000,,,24605790,,,,86900,1221000,,3482523
2019-03-21,,25797175,3637400,,,35080197,,,,97900,1167000,,2772339
2019-03-22,,39760377,4512500,,,39085657,,,,105200,1320000,,5045410
2019-03-25,,20953507,3049300,,,34993862,,,,136200,1197000,,2559314
2019-03-26,,23256190,3448900,,,38476859,,,,64400,1505600,,5154183
2019-03-27,,35715308,4731200,,,51930666,,,,227600,1617200,,5648931
2019-03-28,,36142879,4024200,,,36540551,,,,352400,838200,,2068482
2019-03-29,,26932625,5783400,,,38935128,,,,250000,768000,,4453038
2019-04-01,,22168736,2068000,,,21913430,,,,122000,1298800,,2560820
2019-04-02,,17454734,5353900,,,19763185,,,,137700,709400,,4841424
2019-04-03,,16439979,6049800,,,19214127,,,,114500,1356800,,3686208
2019-04-04,,22280008,4369700,,,34297158,,,,129800,932800,,6093361
2019-04-05,,16063572,3874500,,,26779879,,,,94900,1136000,,3662706
2019-04-08,,11535510,2264100,,,15987645,,,,108300,903000,,5367810
2019-04-09,,19063380,3435100,,,21633858,,,,66100,1240600,,4228864
2019-04-10,,15823859,2797800,,,28771211,,,,80100,3006200,,5125257
2019-04-11,,13487156,2072800,,,16721556,,,,136400,1040800,,3104080
2019-04-12,,28133480,4060700,,,24499935,,,,61300,709400,,2531594
2019-04-15,,22395938,3775800,,,19154911,,,,117600,892600,,2309830
2019-04-16,,14552089,3788800,,,14700223,,,,55800,1045200,,4365056
2019-04-17,,32402928,4993600,,,40821915,,,,128800,1202000,,3132704
2019-04-18,,18296325,4752100,,,25045193,,,,55400,1023200,,8870522
2019-04-22,,14163703,2134500,,,15806067,,,,90100,434000,,2167312
2019-04-23,,20794079,2606000,,,19301903,,,,48500,648400,,4133952
2019-04-24,,21182731,3316300,,,30688000,,,,130400,798400,,3960700
2019-04-25,,41204964,4965200,,,31078536,,,,286600,823200,,3150782
2019-04-26,,13804998,2148400,,,19709340,,,,143300,469000,,1685218
2019-04-29,,18010825,2076900,,,23352954,,,,78600,910400,,1367639
2019-04-30,,12718104,4309300,,,17897359,,,,43700,1289800,,3377366
2019-05-02,,17284232,2183800,,,16100313,,,,49500,808800,,2066675
2019-05-03,,20207508,2314600,,,18350387,,,,51900,1468200,,3185734
2019-05-06,,15218520,2602600,,,28573519,,,,72800,1470800,,2264634
